Column	Row	x	y	Diameter	Intensity	Area	Trimmed	FeatureMedian	FeatureVariance	BackgroundMedian	Circularity	Perimeter	redMean	greenMean	blueMean	redMeanBack	greenMeanBack	blueMeanBack	redMedian	greenMedian	blueMedian	redMedianBack	greenMedianBack	blueMedianBack	Barcode	Filename
1	1	339	280	135	0.000592456877481	0.0195535191006	0.001724009002	0.00027789496168	0.00168938856653	-1.72791320234e-06	0.00922650243467	0.0376684959241	151.19346049	152.561307902	130.839237057	82.2104662537	92.8869144658	93.1377024236	158.0	159.0	135.0	79.0	91.0	92.0	DLR00012709	DLR00012709-2009-07-01_11-32-39
2	1	481	283	135	0.000266853799839	0.000266396717992	1.60973438938e-05	0.000232627505855	3.27808194788e-05	1.90703951347e-07	0.628318530718	0.000532793435985	93.6	103.4	105.4	80.4413771051	93.3464613089	95.2142933276	93.0	104.0	104.0	79.0	92.0	95.0	DLR00012709	DLR00012709-2009-07-01_11-32-39
3	1	612	280	135	0.000428371278361	0.0	0.0		0.0	4.78643169579e-07	0.0	0.0				83.569076669	97.185305557	99.0613245245				82.0	96.0	98.0	DLR00012709	DLR00012709-2009-07-01_11-32-39
4	1	746	275	135	0.0001964562528	0.000959028184773	5.24517227411e-05	0.000212196367531	2.52969027004e-06	-1.31502030705e-06	0.0180321006902	0.00596728648303	123.388888889	131.722222222	127.0	85.4713881926	99.7898778732	101.764172577	123.0	132.0	127.0	83.0	98.0	101.0	DLR00012709	DLR00012709-2009-07-01_11-32-39
5	1	883	279	135	-0.000152626079711	0.000106558687197	7.17220290901e-06	0.000263951130195	1.82098076236e-05	-1.71390993487e-06	0.207708605196	0.000586072779583	99.5	114.5	115.0	84.7126338786	100.116001492	101.995737198	99.5	114.5	115.0	83.0	99.0	101.0	DLR00012709	DLR00012709-2009-07-01_11-32-39
6	1	1020	275	135	0.000276625293641	0.0	0.0		0.0	-4.88767811144e-07	0.0	0.00388939208269				85.4136608237	101.131013906	102.777931696				83.0	99.0	102.0	DLR00012709	DLR00012709-2009-07-01_11-32-39
7	1	1150	279	135	0.00037586679544	0.0	0.0		0.0	2.80626516516e-08	0.0	0.0				85.0879641963	101.26948692	102.584314561				82.0	99.0	102.0	DLR00012709	DLR00012709-2009-07-01_11-32-39
8	1	1289	274	135	0.000659955702832	5.32793435985e-05	2.84738561468e-06	0.000209578747459	0.0	3.34578337893e-07	0.125663706144	0.000532793435985	95.0	113.0	113.0	86.5468350384	102.515185422	103.201832907	95.0	113.0	113.0	83.0	100.0	102.0	DLR00012709	DLR00012709-2009-07-01_11-32-39
9	1	1422	273	135	0.000920411909954	0.0	0.0		0.0	5.21295911186e-07	0.0	5.32793435985e-05				86.6304544728	102.769939794	103.103628323				83.0	100.0	102.0	DLR00012709	DLR00012709-2009-07-01_11-32-39
10	1	1560	271	135	-0.000280314668692	0.000319676061591	3.3241102306e-05	0.000374102688812	0.00184119269429	-2.86325910558e-06	0.103426918637	0.00143854227716	109.833333333	124.166666667	124.666666667	86.5135106326	102.696210627	102.813729148	107.0	122.0	122.5	82.0	100.0	101.0	DLR00012709	DLR00012709-2009-07-01_11-32-39
11	1	1694	275	135	0.00013728259694	0.0	0.0		0.0	-4.60843664401e-07	0.0	0.0				85.9593478608	102.242421013	102.312856306				82.0	99.0	101.0	DLR00012709	DLR00012709-2009-07-01_11-32-39
12	1	1846	269	135	-0.00017707367106	0.0	0.0		0.0	-2.23335555208e-06	0.0	5.32793435985e-05				87.2407160744	103.297405296	102.998028664				83.0	100.0	101.0	DLR00012709	DLR00012709-2009-07-01_11-32-39
13	1	1976	279	135	-1.4950219812e-05	0.000319676061591	2.06637829486e-05	0.000259915113885	5.22764190543e-05	-1.87848315666e-06	0.232710566933	0.000959028184773	107.166666667	122.166666667	116.166666667	85.279646112	101.734957096	101.753930608	107.5	122.5	116.0	82.0	99.0	100.0	DLR00012709	DLR00012709-2009-07-01_11-32-39
14	1	2114	279	135	-0.000807829047716	0.0	0.0		0.0	-4.63920623669e-06	0.0	0.0				84.3055570355	100.523256433	100.867920507				81.0	98.0	100.0	DLR00012709	DLR00012709-2009-07-01_11-32-39
15	1	2252	272	135	6.32512782035e-05	0.0	0.0		0.0	-1.44009226993e-06	0.0	0.0				85.853002291	101.851563749	102.033672545				82.0	99.0	101.0	DLR00012709	DLR00012709-2009-07-01_11-32-39
16	1	2384	279	135	-0.000539000445785	0.0	0.0		0.0	-3.46351956848e-06	0.0	0.0				84.3954392882	100.720656402	101.415472321				81.0	98.0	100.0	DLR00012709	DLR00012709-2009-07-01_11-32-39
17	1	2517	269	135	0.000371258811223	0.0	0.0		0.0	-3.70188015502e-07	0.0	0.0				86.7352016623	102.304065214	103.018008418				83.0	99.0	102.0	DLR00012709	DLR00012709-2009-07-01_11-32-39
18	1	2659	270	135	0.000867571468881	0.000106558687197	8.63138251075e-06	0.000317651800675	4.66960252298e-05	1.70388122107e-06	0.0628318530718	0.00106558687197	107.0	123.0	122.5	86.5759045132	101.686524218	102.499280652	107.0	123.0	122.5	83.0	99.0	101.0	DLR00012709	DLR00012709-2009-07-01_11-32-39
19	1	2798	272	135	-0.00179972000084	0.0	0.0		0.0	-8.84605240422e-06	0.0	0.0				84.9662741755	99.5610314881	100.740849273				82.0	97.0	99.0	DLR00012709	DLR00012709-2009-07-01_11-32-39
20	1	2934	279	135	-0.006331936735	5.32793435985e-05	3.35888044539e-06	0.000247226772861	0.0	-2.5814544729e-05	0.196349540849	0.000426234748788	94.0	110.0	110.0	81.5274936061	96.172314578	98.0617007673	94.0	110.0	110.0	79.0	94.0	97.0	DLR00012709	DLR00012709-2009-07-01_11-32-39
21	1	3064	271	135	0.000841860924177	5.32793435985e-05	2.94435305773e-06	0.000216715931532	0.0	2.3962359503e-07	12.5663706144	5.32793435985e-05	93.0	107.0	107.0	83.6636295823	97.0348998295	98.0346334186	93.0	107.0	107.0	81.0	95.0	97.0	DLR00012709	DLR00012709-2009-07-01_11-32-39
22	1	3205	279	135	-0.000172220063768	0.000426234748788	2.69859342076e-05	0.000241788354824	6.86309697987e-05	-2.17310867347e-06	0.128228271575	0.00149182162076	98.875	111.25	109.875	79.370929055	92.4251905549	93.744469911	99.5	111.5	109.5	77.0	91.0	93.0	DLR00012709	DLR00012709-2009-07-01_11-32-39
23	1	3332	271	135	0.000414558390871	0.0	0.0		0.0	-3.33411694618e-07	0.0	0.000532793435985				80.1157760136	91.6783526027	92.1663913901				78.0	90.0	91.0	DLR00012709	DLR00012709-2009-07-01_11-32-39
24	1	3487	279	135	-0.000373217252114	0.0184346528851	0.00158748720184	0.000248820719745	0.00198051399793	-6.54298130669e-06	0.0184082890166	0.0258937609889	159.502890173	162.098265896	142.01734104	84.4441187646	93.9558160994	93.0405471422	124.0	127.0	118.0	81.0	91.0	90.0	DLR00012709	DLR00012709-2009-07-01_11-32-39
1	2	331	412	135	0.000928260788963	0.000266396717992	2.0875342076e-05	0.000306864882012	0.000303946671252	2.67733222735e-06	0.245436926062	0.000852469497576	96.0	108.0	108.0	75.427574078	88.3961841825	90.2341185248	96.0	108.0	108.0	75.0	88.0	90.0	DLR00012709	DLR00012709-2009-07-01_11-32-39
2	2	477	405	135	0.000569742578435	0.000426234748788	2.73203499604e-05	0.000245871196711	8.36614194732e-05	9.83605206248e-07	0.207708605196	0.00117214555917	94.125	105.25	106.625	75.9867277864	90.6379190875	92.908320452	94.0	104.5	106.0	76.0	91.0	93.0	DLR00012709	DLR00012709-2009-07-01_11-32-39
3	2	611	412	135	0.00102344606707	0.000479514092386	8.23685810919e-05	0.000655240266688	0.0033806279416	1.85048766175e-06	0.196349540849	0.00127870424636	124.666666667	136.0	136.111111111	77.9843816631	93.2312899787	95.7364605544	123.0	135.0	135.0	78.0	93.0	96.0	DLR00012709	DLR00012709-2009-07-01_11-32-39
4	2	746	402	135	5.30567617687e-05	0.0	0.0		0.0	1.06255052586e-07	0.0	0.0				78.8985561298	94.8455431829	97.6740369759				79.0	95.0	98.0	DLR00012709	DLR00012709-2009-07-01_11-32-39
5	2	878	412	135	0.000213916241167	0.0	0.0		0.0	1.63643560808e-07	0.0	0.0				78.8829985615	95.7334967233	97.9393148276				79.0	96.0	98.0	DLR00012709	DLR00012709-2009-07-01_11-32-39
6	2	1012	412	135	-0.000197895321703	5.32793435985e-05	2.98061085398e-06	0.000219384647523	0.0	-1.83294661455e-06	0.25645654315	0.000372955405189	95.0	111.0	111.0	78.7054560955	96.1755647911	98.0475809889	95.0	111.0	111.0	78.0	96.0	98.0	DLR00012709	DLR00012709-2009-07-01_11-32-39
7	2	1154	412	135	-0.000209192945111	0.0	0.0		0.0	-2.08659776593e-06	0.0	0.000852469497576				78.6031221695	96.4302306996	97.8243912835				78.0	96.0	98.0	DLR00012709	DLR00012709-2009-07-01_11-32-39
8	2	1294	412	135	-0.000172300006327	0.000426234748788	3.19339898227e-05	0.000275480517594	0.000404572260272	-1.49177653967e-06	0.207708605196	0.00117214555917	100.25	117.125	116.25	78.2279729226	96.1398646128	97.2449229785	99.0	116.0	115.0	78.0	96.0	97.0	DLR00012709	DLR00012709-2009-07-01_11-32-39
9	2	1425	411	135	0.000399594866741	0.000159838030795	9.74926848705e-06	0.000225223823496	2.96739175038e-05	-3.1047972522e-07	0.376991118431	0.000532793435985	96.0	112.0	111.666666667	78.0262709155	95.8197271662	96.7849301929	95.0	111.0	111.0	78.0	96.0	97.0	DLR00012709	DLR00012709-2009-07-01_11-32-39
10	2	1565	412	135	-0.000512312042554	5.32793435985e-05	3.21884913721e-06	0.000236919919437	0.0	-2.57365355604e-06	0.502654824574	0.000266396717992	96.0	110.0	111.0	77.129955243	95.0658567775	95.8447357204	96.0	110.0	111.0	77.0	95.0	96.0	DLR00012709	DLR00012709-2009-07-01_11-32-39
11	2	1704	412	135	-0.000336665661119	0.000213117374394	1.3265576407e-05	0.0002430500906	8.53345678452e-06	-2.4180950033e-06	0.113980685845	0.00111886621557	94.75	112.75	112.75	76.9605115907	95.089048761	95.8973621103	94.5	112.5	112.5	77.0	95.0	96.0	DLR00012709	DLR00012709-2009-07-01_11-32-39
12	2	1839	409	135	-0.00082430053241	5.32793435985e-05	3.31689083702e-06	0.00024413617302	0.0	-3.57950958166e-06	0.196349540849	0.000426234748788	96.0	112.0	111.0	76.9268435635	95.3865089514	95.8048273657	96.0	112.0	111.0	77.0	95.0	96.0	DLR00012709	DLR00012709-2009-07-01_11-32-39
13	2	1968	403	135	-0.000749631998487	0.000266396717992	1.66155171647e-05	0.000224839269775	7.49586727873e-05	-4.37414263663e-06	0.118774769512	0.00122542490277	94.6	111.4	111.4	76.7018226391	94.9396717118	95.3639415903	94.0	110.0	110.0	77.0	95.0	95.0	DLR00012709	DLR00012709-2009-07-01_11-32-39
14	2	2114	403	135	-0.00130644175943	0.0	0.0		0.0	-5.92177648221e-06	0.0	0.0				75.9152325643	93.9691512601	94.9174170174				76.0	94.0	95.0	DLR00012709	DLR00012709-2009-07-01_11-32-39
15	2	2249	412	135	-0.000890131861906	0.0	0.0		0.0	-4.30420928421e-06	0.0	0.0				76.0149714956	93.9798604081	95.0712877617				76.0	94.0	95.0	DLR00012709	DLR00012709-2009-07-01_11-32-39
16	2	2385	412	135	-0.00116095845216	0.000639352123182	5.52631676909e-05	0.000304771410234	0.000909105737011	-5.05677091691e-06	0.0712648617071	0.00245084980553	101.25	116.916666667	115.75	76.1318441115	94.048515221	95.4162712587	98.5	114.5	114.0	76.0	94.0	95.0	DLR00012709	DLR00012709-2009-07-01_11-32-39
17	2	2526	407	135	-0.000659754936684	0.0	0.0		0.0	-3.27012820639e-06	0.0	0.000106558687197				76.2253183441	94.153817465	95.9617987106				76.0	94.0	96.0	DLR00012709	DLR00012709-2009-07-01_11-32-39
18	2	2659	412	135	0.00226463694038	5.32793435985e-05	2.98693542683e-06	0.000219850160887	0.0	6.11022588075e-06	0.0	0.0	91.0	107.0	107.0	76.8271526002	94.2188832055	95.8334931799	91.0	107.0	107.0	77.0	94.0	96.0	DLR00012709	DLR00012709-2009-07-01_11-32-39
19	2	2798	412	135	0.00145829626397	0.000266396717992	1.75709866422e-05	0.00023862934994	0.000181345549821	2.69121803329e-06	0.320570678938	0.000745910810379	95.4	111.4	110.8	76.3167235131	93.2146130889	95.1885525474	94.0	110.0	110.0	76.0	93.0	95.0	DLR00012709	DLR00012709-2009-07-01_11-32-39
20	2	2934	412	135	-0.00311719030522	0.0	0.0		0.0	-1.27976205843e-05	0.0	0.0				74.4083328893	91.3149874794	94.1554691246				74.0	91.0	94.0	DLR00012709	DLR00012709-2009-07-01_11-32-39
21	2	3066	412	135	0.000983415582145	0.000106558687197	5.887748057e-06	0.000216680673102	3.98070285654e-06	7.83510724519e-07	6.28318530718	0.000106558687197	90.5	106.5	105.5	74.1544732776	90.4693344701	93.6405925294	90.5	106.5	105.5	74.0	90.0	94.0	DLR00012709	DLR00012709-2009-07-01_11-32-39
22	2	3205	412	135	-0.0002484129567	0.000372955405189	2.74258486583e-05	0.000239092398714	0.000430119878474	-2.39541587652e-06	0.130125139498	0.00138526293356	88.5714285714	107.571428571	106.857142857	71.7008847671	87.264044345	90.5456241339	87.0	105.0	105.0	72.0	87.0	91.0	DLR00012709	DLR00012709-2009-07-01_11-32-39
23	2	3342	412	135	-0.000114230274813	0.0	0.0		0.0	-3.33288158374e-06	0.0	0.0				70.0229633971	84.6705205392	87.688635516				70.0	85.0	88.0	DLR00012709	DLR00012709-2009-07-01_11-32-39
24	2	3482	412	135	-0.000874622486401	0.000532793435985	3.95103284869e-05	0.000266355097515	0.000366056602822	-4.15692053823e-06	0.160285339469	0.00149182162076	88.8	101.3	102.3	72.2896742897	85.1721307106	86.5187376726	87.5	99.5	100.5	72.0	85.0	86.0	DLR00012709	DLR00012709-2009-07-01_11-32-39
1	3	338	551	135	0.000870318102643	0.000586072779583	4.42335847968e-05	0.000265263576675	0.00031538453579	1.0566806335e-06	0.153588974176	0.00159838030795	99.0	109.0	110.545454545	75.3013114405	88.7013007783	90.7567970999	97.0	107.0	109.0	75.0	89.0	91.0	DLR00012709	DLR00012709-2009-07-01_11-32-39
2	3	477	551	135	0.00100433566731	0.000159838030795	1.32723578004e-05	0.000285658433979	0.000300193803806	2.74943804316e-06	0.261799387799	0.000639352123182	99.0	110.333333333	110.666666667	76.5840349568	91.2247681978	93.213204732	96.0	108.0	108.0	77.0	91.0	93.0	DLR00012709	DLR00012709-2009-07-01_11-32-39
3	3	612	559	135	0.00110652812358	0.00127870424636	0.00018188637574	0.000421021786918	0.00737911009862	1.40393270995e-06	0.115952670029	0.00271724652352	117.541666667	129.666666667	128.375	77.8083755668	93.3172045879	95.3570552147	108.0	120.5	119.5	78.0	93.0	95.0	DLR00012709	DLR00012709-2009-07-01_11-32-39
4	3	739	560	135	0.000720614156779	0.000159838030795	1.39478979655e-05	0.000317439170772	0.000703963049279	1.59930316455e-06	0.147262155637	0.000852469497576	103.666666667	117.666666667	118.666666667	78.529521475	94.8111478205	97.0442822125	102.0	116.0	117.0	79.0	95.0	97.0	DLR00012709	DLR00012709-2009-07-01_11-32-39
5	3	883	551	135	0.00091961433033	0.0	0.0		0.0	2.05279025584e-06	0.0	0.0				78.9155522404	95.7662635196	97.481005914				79.0	96.0	97.0	DLR00012709	DLR00012709-2009-07-01_11-32-39
6	3	1020	545	135	0.00114603329066	0.0	0.0		0.0	2.01820568371e-06	0.0	0.0				79.0429964303	96.2773722628	97.3686397784				79.0	96.0	97.0	DLR00012709	DLR00012709-2009-07-01_11-32-39
7	3	1158	545	135	0.000461004384838	0.000106558687197	8.11897766733e-06	0.000298794297722	0.000170554625292	2.28150815389e-07	0.207708605196	0.000586072779583	100.5	116.5	115.5	78.5878936431	96.1639580114	96.8274098151	100.5	116.5	115.5	78.0	96.0	97.0	DLR00012709	DLR00012709-2009-07-01_11-32-39
8	3	1285	551	135	0.000217383031635	5.32793435985e-05	3.03645440852e-06	0.000223494952131	0.0	5.22019696619e-07	0.785398163397	0.000213117374394	95.0	111.0	110.0	78.3053069054	95.9420289855	96.2574062234	95.0	111.0	110.0	78.0	96.0	96.0	DLR00012709	DLR00012709-2009-07-01_11-32-39
